n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
261,660.7167325952793,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
262,662.2965864311004,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
263,664.244604652273,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
264,665.342763095599,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
265,668.9758488202351,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
266,670.3235852058625,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
267,674.3558978101232,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
268,676.1396743636268,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
269,677.230180668764,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
270,677.8004447462214,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
271,679.7421978825282,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
272,684.0135498138695,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
273,684.9726298620984,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
274,686.163223587728,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
275,687.9615431847036,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
276,689.3689413622724,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
277,690.4747350323504,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
278,694.5339086998732,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
279,704.0338392955254,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
280,705.1258139546193,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
281,706.1846547995178,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
282,712.7493834701013,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
283,714.0827718206694,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
284,716.1123964540521,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
285,717.4825697031002,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
286,718.742786545486,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
287,719.6971009883657,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
288,727.0564032300495,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
289,728.4054815889341,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
290,728.7587497956142,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
291,730.4164821227564,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
292,731.4173549185986,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
293,732.8180527144999,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
294,734.789643252378,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
295,735.7654592085782,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
296,737.0529289122653,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
297,738.580421171374,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
298,739.9095236740419,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
299,740.573807447295,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
300,741.7573355729417,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
301,743.8950131424737,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
302,745.3449895506118,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
303,746.4993058994323,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
304,752.8876215672024,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
305,754.3223704717127,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
306,755.8393089760378,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
307,756.768248439951,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
308,758.1017292464126,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
309,758.9002382248924,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
310,760.2823669835121,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
311,762.700033249691,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
312,763.5930661728372,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
313,764.3075227241802,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
314,766.0875400998362,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
315,767.2184721555395,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
316,768.2814618065092,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
317,769.6934072526244,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
318,771.0708393136782,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
319,772.961617565757,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
320,774.1177446279405,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
321,775.0478470965805,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
322,775.9997119631714,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
323,777.2997485295925,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
324,779.1570769491891,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
325,780.3489250041816,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
326,784.2888226124655,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
